"","id","submitdate","lastpage","startlanguage","startdate","datestamp","specificIntro","personalInfo_name","personalInfo_role","personalInfo_organisation","personalInfo_email","suggestion","justification","recruitment","extraQuestions_vraag1","extraQuestions_vraag2","extraQuestions_vraag3","extraQuestions_vraag4","extraQuestions_vraag5","extraQuestions_vraag6","extraQuestions_vraag7","extraQuestions_vraag8","extraQuestions_vraag9","extraQuestions_vraag10","extraQuestJustificat_vraag1","extraQuestJustificat_vraag2","extraQuestJustificat_vraag3","extraQuestJustificat_vraag4","extraQuestJustificat_vraag5","extraQuestJustificat_vraag6","extraQuestJustificat_vraag7","extraQuestJustificat_vraag8","extraQuestJustificat_vraag9","extraQuestJustificat_vraag10","Totaaltijd","Groep.tijd..Group","Vraag.tijd..specificIntro","Vraag.tijd..personalInfo","Vraag.tijd..suggestion","Vraag.tijd..justification","Vraag.tijd..recruitment","Vraag.tijd..extraQuestions","Vraag.tijd..extraQuestJustificat"
"11",67,NA,0,"nl-informal","2018-04-23 10:25:55","2018-04-23 10:25:55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"12",68,NA,0,"nl-informal","2018-04-23 10:34:52","2018-04-23 10:34:52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"13",69,NA,0,"nl-informal","2018-04-23 13:12:44","2018-04-23 13:12:44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"14",70,NA,0,"nl-informal","2018-04-23 16:28:26","2018-04-23 16:28:26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"15",71,NA,0,"nl-informal","2018-04-23 16:28:26","2018-04-23 16:28:26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"16",72,NA,0,"nl-informal","2018-04-24 09:20:36","2018-04-24 09:20:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"17",73,"2018-04-24 10:54:50",1,"nl-informal","2018-04-24 10:41:54","2018-04-24 10:54:50",NA,NA,NA,NA,NA,"signaleren en aanspreken op SGOG door uitgaanspubliek onder uitgaanspubliek","Vermoeden: goeie intenties, maar weinig vertrouwen in effectiviteit van interveniëren en twijfels over wenselijkheid (zeker onder mannen)",NA,"Is SGOG een probleem in het uitgaansleven?","Hebben mensen hulp nodig met omgaan met SGOG?","Ben je goed in staat om SGOG te signaleren (bij vrienden/kennissen/vreemde)?","Denk je dat jouw hulp gewenst is (bij vrienden/kennissen/vreemde)?","Denk je dat jouw hulp wat uithaalt?","Van wie zou jij hulp op prijs stellen als jou SGOG wordt aangedaan; vrienden/kennissen/vreemden?","Hoe waarschijnlijk is het dat iemand agressief reageert als je hem/haar aanspreekt op SGOG","Denk je dat vrienden van je (onbedoeld) SGOG vertonen?","Als je een vriend zou aanspreken op het vertonen van (onbedoeld) SGOG, wordt daar denk je positief, neutraal, of negatief op gereageerd?",NA,"is er een hulpvraag?","zie 1","PBC","ik denk dat veel mannen zich laten tegenhouden door veronderstelde onwenselijkheid van bemoeienis","PBC","willen mensen wel hulp van vreemden of moeten we focussen op vriendengroepen?","vermoed dat dit een grote remmende attitude is, waarop je kan aangrijpen met preventiecampagnes die zich richten op communicatie strategieën","signaleren en aanspreken van (mogelijke) daders lijkt me een goed vertrekpunt voor preventie, anders loop je achter de feiten aan","zie 8",NA,725.49,725.49,NA,NA,NA,NA,NA,NA,NA
"18",74,NA,0,"nl-informal","2018-04-24 13:43:10","2018-04-24 13:43:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"19",75,NA,0,"nl-informal","2018-04-25 07:51:08","2018-04-25 07:51:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"20",76,NA,0,"nl-informal","2018-04-26 09:35:11","2018-04-26 09:35:11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"21",77,NA,0,"nl-informal","2018-04-26 12:59:38","2018-04-26 12:59:38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"22",78,NA,0,"nl-informal","2018-04-26 14:31:43","2018-04-26 14:31:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"23",79,NA,0,"nl-informal","2018-04-26 14:34:47","2018-04-26 14:34:47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"24",80,NA,0,"nl-informal","2018-04-26 16:41:56","2018-04-26 16:41:56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"25",81,NA,0,"nl-informal","2018-04-26 17:15:08","2018-04-26 17:15:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"26",82,NA,0,"nl-informal","2018-05-01 14:42:53","2018-05-01 14:42:53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"27",83,NA,0,"nl-informal","2018-05-02 11:47:16","2018-05-02 11:47:16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"28",84,NA,0,"nl-informal","2018-05-03 13:57:25","2018-05-03 13:57:25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"29",85,NA,0,"nl-informal","2018-05-03 14:45:16","2018-05-03 14:45:16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"30",86,"2018-05-04 11:04:25",1,"nl-informal","2018-05-04 10:51:06","2018-05-04 11:04:25",NA,NA,NA,NA,NA,"- mate waarin men ooit of in de afgelopen periode te maken heeft gehad met seksueel grensoverschrijdend gedrag tijdens het uitgaan
- indien het geval: welke handelingen waren dat en wat heeft men vervolgens gedaan/gereageerd?
- In hoeverre wordt gedrag als ‘normaal’ gezien of wanneer wordt het als ‘grensoverschrijdend of zelfs geweld’ ervaren? Wanneer is het grensoverschrijdend?
- mate waarin men getuige is geweest van grensoverschrijdend gedrag bij anderen?
- wat verwacht men van de organisatie van evenementen om grensoverschrijding te voorkomen? 
","Nog niet veel over bekend",NA,"Neemt men condooms mee als men uitgaat?","Is het wel eens voorgekomen dat men condooms nodig had tijdens het uitgaan, maar er geen voor handen was? Wat heeft men toen gedaan?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,799.46,799.46,NA,NA,NA,NA,NA,NA,NA
